epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.9456,1.64284,2.8804,1.61797,0.16236,0.7551,0.3116,0.16861,1.44533,2.07722,1.38669,0.000411706,0.000411706,0.000411706
2,82.672,1.39119,1.62761,1.43459,0.71984,0.52382,0.53041,0.29256,1.39324,1.41013,1.46304,0.000820172,0.000820172,0.000820172
3,116.937,1.37318,1.34296,1.42596,0.75958,0.57326,0.60655,0.35619,1.36606,1.19056,1.42898,0.00122039,0.00122039,0.00122039
4,151.364,1.36015,1.28719,1.39062,0.50688,0.74981,0.6617,0.41113,1.23844,1.06396,1.31102,0.00121287,0.00121287,0.00121287
5,185.465,1.32554,1.21097,1.36706,0.68301,0.71267,0.73283,0.45991,1.23175,0.9977,1.31785,0.0012005,0.0012005,0.0012005
6,219.488,1.30002,1.1621,1.34942,0.681,0.73274,0.73987,0.47171,1.22106,0.94194,1.28126,0.00118812,0.00118812,0.00118812
7,253.686,1.30566,1.10313,1.34247,0.67694,0.73179,0.72456,0.45014,1.24937,0.94189,1.29454,0.00117575,0.00117575,0.00117575
8,287.766,1.29886,1.09342,1.34313,0.69295,0.73319,0.75218,0.47592,1.20478,0.91128,1.27966,0.00116337,0.00116337,0.00116337
9,321.865,1.25559,1.03122,1.30952,0.68641,0.74841,0.74096,0.4671,1.20304,0.89674,1.27804,0.001151,0.001151,0.001151
10,355.743,1.25174,1.01628,1.3077,0.70836,0.73284,0.77188,0.49518,1.19672,0.85965,1.26661,0.00113863,0.00113863,0.00113863
11,389.606,1.25404,1.01581,1.30663,0.70337,0.73336,0.76521,0.49395,1.18896,0.86665,1.25091,0.00112625,0.00112625,0.00112625
12,423.466,1.25887,0.99966,1.30002,0.71792,0.74286,0.76991,0.47651,1.27215,0.83529,1.29644,0.00111388,0.00111388,0.00111388
13,457.257,1.24604,0.96259,1.29415,0.70039,0.75363,0.77228,0.50164,1.19183,0.82646,1.25488,0.0011015,0.0011015,0.0011015
14,491.14,1.24809,0.9438,1.29652,0.69629,0.76309,0.7648,0.49038,1.19553,0.83253,1.26496,0.00108913,0.00108913,0.00108913
15,524.957,1.23417,0.92536,1.28317,0.70736,0.74246,0.76533,0.50107,1.17063,0.82636,1.24937,0.00107675,0.00107675,0.00107675
16,558.796,1.23052,0.90736,1.27944,0.69456,0.74636,0.76178,0.48746,1.2084,0.799,1.25824,0.00106437,0.00106437,0.00106437
17,592.403,1.22845,0.9233,1.28329,0.70648,0.75164,0.78052,0.50216,1.20515,0.79628,1.26568,0.001052,0.001052,0.001052
